,0
0654,-8.66074
0655,-7.9569
0656,-7.68333
0657,-7.13847
0658,-8.1411
0659,-7.76125
0660,-7.54766
0661,-7.76634
0662,-8.10198
0663,-7.59359
0664,-8.25446
0665,-8.23655
0666,-7.60632
0667,-8.01907
0668,-8.28181
0669,-8.18745
0670,-7.85944
0671,-7.01975
0672,-6.99822
0673,-7.77753
0674,-6.90077
0675,-8.55117
0676,-9.08743
0677,-7.6307
0678,-8.4582
0679,-7.26946
0680,-7.46224
0681,-7.1626
0682,-8.28635
0683,-7.99594
0684,-8.06967
0685,-7.40777
0686,-7.88959
0687,-8.29585
0688,-8.16658
0689,-8.02006
0690,-7.39497
0691,-8.01875
0692,-9.01062
0693,-8.1722
0694,-7.62949
0695,-7.96316
0696,-7.61848
0697,-7.41667
0698,-7.21348
0699,-8.43508
0700,-7.22604
0701,-8.12763
0702,-7.35785
0703,-7.71179
0704,-8.30032
0705,-8.11231
0706,-7.46824
0707,-7.15374
0708,-7.8433
0709,-7.91583
0710,-7.93117
0711,-7.7691
0712,-7.59641
0713,-6.96529
0714,-7.51134
0715,-8.04027
0716,-7.96402
0717,-6.60444
0718,-7.8815
0719,-7.11154
0720,-7.72418
0721,-7.94247
0722,-7.82482
0723,-7.34219
0724,-7.60839
0725,-7.70892
0726,-7.67484
0727,-8.05713
0728,-7.32241
0729,-7.79553
0730,-7.38561
0731,-7.79893
0732,-7.51007
0733,-7.49992
0734,-7.5024
0735,-8.08748
0736,-8.56335
0737,-7.7289
0738,-7.57149
0739,-8.05377
0740,-7.37121
0741,-6.58072
0742,-7.74128
0743,-7.29377
0744,-7.58436
0745,-7.90193
0746,-7.27261
0747,-8.04639
0748,-7.42463
0749,-7.89722
0750,-8.14023
0751,-7.1601
0752,-7.50228
0753,-7.86806
0754,-7.53916
0755,-8.07101
0756,-7.6315
0757,-7.21344
0758,-7.82092
0759,-7.48405
0760,-7.44746
0761,-7.86549
0762,-8.13972
0763,-8.35608
0764,-7.6813
0765,-6.72798
0766,-8.10209
0767,-7.57128
0768,-6.7164
0769,-7.7428
0770,-7.39177
0771,-7.78839
0772,-7.59956
0773,-8.13987
0774,-7.43537
0775,-7.8947
0776,-7.85388
0777,-8.62624
0778,-7.41295
0779,-8.58658
0780,-8.21964
0781,-7.38503
0782,-8.32864
0783,-7.71081
0784,-7.04453
0785,-7.99065
0786,-8.25671
0787,-7.96068
0788,-6.93594
0789,-6.64195
0790,-7.25437
0791,-7.51066
0792,-6.16537
0793,-7.56154
0794,-7.572
0795,-7.19549
0796,-6.97788
0797,-7.88385
0798,-7.04234
0799,-7.74819
0800,-6.3882
0801,-6.27422
0802,-6.70268
0803,-7.4781
0804,-7.76473
0805,-7.89748
0806,-7.09174
0807,-8.2733
0808,-8.01725
0809,-7.43543
0810,-6.91319
0811,-7.63726
0812,-7.659
0813,-7.86635
0814,-7.78407
0815,-7.28096
0816,-7.47709
0817,-7.39067
0818,-7.11245
0819,-7.37155
0820,-7.49231
0821,-7.73777
0822,-7.88764
0823,-7.66679
0824,-7.43922
0825,-6.03374
0826,-7.18517
0827,-7.6549
0828,-7.09981
0829,-7.51926
0830,-7.85741
